,,,,,,,,,,,,,,,更新日,18
,,,,,,,,,,,,,,,当月日数,31
,2026年1月_数値,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,全施策合計着地,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,着地見込み,,,,,,,,,,,,,,,
,キャンペーン,媒体,IMP,Click,CTR,CPC,COST,AdsCV,AdsCVR,AdsCPA,リード,リードCVR,リードCPA,,,
,指名,Google,"6,885",760,11.03%,"¥1,029","¥781,701",26,3.40%,"¥30,259",14,1.81%,"¥56,736",,,
,,Yahoo!,463,33,7.06%,¥978,"¥32,011",3,10.53%,"¥9,294",0,0.00%,¥0,,,
,,合計,"7,349",792,10.78%,"¥1,027","¥813,712",29,3.70%,"¥27,793",14,1.74%,"¥59,060",,,
,一般_セキュリティ診断,Google,"30,848",946,3.06%,¥953,"¥900,698",0,0.00%,¥0,0,0.00%,¥0,,,
,一般_Webアプリケーション診断,Google,"20,195",479,2.37%,"¥2,381","¥1,140,116",0,0.00%,¥0,0,0.00%,¥0,,,
,合計,,"58,392","2,217",3.80%,"¥1,288","¥2,854,527",29,1.32%,"¥97,498",14,0.62%,"¥207,183",,,
,当初プランとの差分,,"8,377","3,828",-,-,"¥545,474",43,-0.13%,"-¥50,276",44,0.34%,"-¥148,563",,,
,,,,,,,,,,,,,,,,
,当初目標値,,,,,,,,,,,,,,,
,キャンペーン,媒体,IMP,Click,CTR,CPC,COST,AdsCV,AdsCVR,AdsCPA,リード,リードCVR,リードCPA,,,
,指名,Google,"7,783",825,10.60%,"¥1,000","¥825,000",36,4.40%,"¥22,917",29,3.52%,"¥28,448",,,
,,Yahoo!,"1,689",63,3.70%,¥400,"¥25,000",5,8.00%,"¥5,000",4,6.40%,"¥6,250",,,
,,小計,"9,472",888,9.37%,¥958,"¥850,000",41,4.62%,"¥20,732",33,3.72%,"¥25,758",,,
,一般_セキュリティ診断,Google,"30,334","2,730",9.00%,¥495,"¥1,350,000",16,0.60%,"¥84,375",13,0.48%,"¥103,846",,,
,一般_Webアプリケーション診断,Google,"26,963","2,427",9.00%,¥495,"¥1,200,000",15,0.60%,"¥80,000",12,0.48%,"¥100,000",,,
,合計,,"66,769","6,044",9.05%,¥563,"¥3,400,000",72,1.19%,"¥47,222",58,0.96%,"¥58,621",,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,指名_合計,,,,,,,,,,,,,,,
,,,IMP,Click,CTR,CPC,COST,AdsCV,AdsCVR,AdsCPA,リード,リードCVR,リードCPA,,,
,目標値,,"9,472",888,9.37%,¥958,"¥850,000",41,4.62%,"¥20,732",33,3.72%,"¥25,758",,,
,1週目：1/1（木・祝）〜1/4（日）,,54,8,14.81%,"¥1,762","¥14,096",1,12.50%,"¥14,096",1,12.50%,"¥14,096",,,
,2週目：1/5（月）〜1/11（日）,,"2,067",238,11.51%,¥885,"¥210,729",10,4.20%,"¥21,073",4,1.68%,"¥52,682",,,
,3週目：1/12（月）〜1/18（日）,,"2,146",214,9.97%,"¥1,157","¥247,653",6,2.80%,"¥41,276",3,1.40%,"¥82,551",,,
,4週目：1/19（月）〜1/25（日）,,0,0,0.00%,¥0,¥0,0,0.00%,¥0,0,0.00%,¥0,,,
,5週目：1/26（月）〜1/31（土）,,0,0,0.00%,¥0,¥0,0,0.00%,¥0,0,0.00%,¥0,,,
,合計,,"4,267",460,10.78%,"¥1,027","¥472,478",17,3.70%,"¥27,793",8,1.74%,"¥59,060",,,
,着地見込み,,"7,349",792,10.78%,"¥1,027","¥813,712",29,3.70%,"¥27,793",14,1.74%,"¥59,060",,,
,当初プランとの差分,,"-2,123",-95,-,-,"-¥36,288",-12,-0.92%,"-¥7,061",-19,-1.98%,"-¥33,302",,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,指名_Google,,,,,,,,,,,,,,,
,,,IMP,Click,CTR,CPC,COST,AdsCV,AdsCVR,AdsCPA,リード,リードCVR,リードCPA,,,
,目標値,,"7,783",825,10.60%,"¥1,000","¥825,000",36,4.40%,"¥22,917",29,3.52%,"¥28,448",,,
,1週目：1/1（木・祝）〜1/4（日）,,41,4,9.76%,"¥1,038","¥4,151",1,25.00%,"¥4,151",1,25.00%,"¥4,151",,,
,2週目：1/5（月）〜1/11（日）,,"1,905",226,11.86%,¥903,"¥204,138",8,3.54%,"¥25,517",4,1.77%,"¥51,035",,,
,3週目：1/12（月）〜1/18（日）,,"2,052",211,10.28%,"¥1,164","¥245,602",6,2.84%,"¥40,934",3,1.42%,"¥81,867",,,
,4週目：1/19（月）〜1/25（日）,,,,0.00%,¥0,,,0.00%,¥0,,0.00%,¥0,,,
,5週目：1/26（月）〜1/31（土）,,,,0.00%,¥0,,,0.00%,¥0,,0.00%,¥0,,,
,合計,,"3,998",441,11.03%,"¥1,029","¥453,891",15,3.40%,"¥30,259",8,1.81%,"¥56,736",,,
,着地見込み,,"6,885",760,11.03%,"¥1,029","¥781,701",26,3.40%,"¥30,259",14,1.81%,"¥56,736",,,
,当初プランとの差分,,-898,-66,-,-,"-¥43,299",-10,-1.00%,"-¥7,343",-15,-1.70%,"-¥28,288",,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,指名_Yahoo!,,,,,,,,,,,,,,,
,,,IMP,Click,CTR,CPC,COST,AdsCV,AdsCVR,AdsCPA,リード,リードCVR,リードCPA,,,
,目標値,,"1,689",63,3.70%,¥400,"¥25,000",5,8.00%,"¥5,000",4,6.40%,"¥6,250",,,
,1週目：1/1（木・祝）〜1/4（日）,,13,4,30.77%,"¥2,486","¥9,945",0,0.00%,¥0,0,0.00%,¥0,,,
,2週目：1/5（月）〜1/11（日）,,162,12,7.41%,¥549,"¥6,591",2,16.67%,"¥3,296",0,0.00%,¥0,,,
,3週目：1/12（月）〜1/18（日）,,94,3,3.19%,¥684,"¥2,051",0,0.00%,¥0,0,0.00%,¥0,,,
,4週目：1/19（月）〜1/25（日）,,,,0.00%,¥0,,,0.00%,¥0,,0.00%,¥0,,,
,5週目：1/26（月）〜1/31（土）,,,,0.00%,¥0,,,0.00%,¥0,,0.00%,¥0,,,
,合計,,269,19,7.06%,¥978,"¥18,587",2,10.53%,"¥9,294",0,0.00%,¥0,,,
,着地見込み,,463,33,7.06%,¥978,"¥32,011",3,10.53%,"¥9,294",0,0.00%,¥0,,,
,当初プランとの差分,,"-1,226",-30,-,-,"¥7,011",-2,2.53%,"-¥4,294",-4,-6.40%,"¥6,250",,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,一般_セキュリティ診断,,,,,,,,,,,,,,,
,,,IMP,Click,CTR,CPC,COST,AdsCV,AdsCVR,AdsCPA,リード,リードCVR,リードCPA,,,
,目標値,,"30,334","2,730",9.00%,¥495,"¥1,350,000",16,0.60%,"¥84,375",13,0.48%,"¥103,846",,,
,1週目：1/1（木・祝）〜1/4（日）,,925,89,9.62%,¥196,"¥17,488",0,0.00%,¥0,0,0.00%,¥0,,,
,2週目：1/5（月）〜1/11（日）,,"2,901",154,5.31%,¥445,"¥68,551",0,0.00%,¥0,0,0.00%,¥0,,,
,3週目：1/12（月）〜1/18（日）,,"14,086",306,2.17%,"¥1,428","¥436,947",0,0.00%,¥0,0,0.00%,¥0,,,
,4週目：1/19（月）〜1/25（日）,,,,0.00%,¥0,,,0.00%,¥0,,0.00%,¥0,,,
,5週目：1/26（月）〜1/31（土）,,,,0.00%,¥0,,,0.00%,¥0,,0.00%,¥0,,,
,合計,,"17,912",549,3.06%,¥953,"¥522,986",0,0.00%,¥0,0,0.00%,¥0,,,
,着地見込み,,"30,848",946,3.06%,¥953,"¥900,698",0,0.00%,¥0,0,0.00%,¥0,,,
,当初プランとの差分,,515,"-1,785",-,-,"-¥449,302",-16,-0.60%,"¥84,375",-13,-0.48%,"-¥103,846",,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,一般_Webアプリケーション診断,,,,,,,,,,,,,,,
,,,IMP,Click,CTR,CPC,COST,AdsCV,AdsCVR,AdsCPA,リード,リードCVR,リードCPA,,,
,目標値,,"26,963","2,427",9.00%,¥495,"¥1,200,000",15,0.60%,"¥80,000",12,0.48%,"¥100,000",,,
,1週目：1/1（木・祝）〜1/4（日）,,244,19,7.79%,¥748,"¥14,219",0,0.00%,¥0,0,0.00%,¥0,,,
,2週目：1/5（月）〜1/11（日）,,"2,853",104,3.65%,"¥1,559","¥162,110",0,0.00%,¥0,0,0.00%,¥0,,,
,3週目：1/12（月）〜1/18（日）,,"8,629",155,1.80%,"¥3,133","¥485,674",0,0.00%,¥0,0,0.00%,¥0,,,
,4週目：1/19（月）〜1/25（日）,,,,0.00%,¥0,,,0.00%,¥0,,0.00%,¥0,,,
,5週目：1/26（月）〜1/31（土）,,,,0.00%,¥0,,,0.00%,¥0,,0.00%,¥0,,,
,合計,,"11,726",278,2.37%,"¥2,381","¥662,003",0,0.00%,¥0,0,0.00%,¥0,,,
,着地見込み,,"20,195",479,2.37%,"¥2,381","¥1,140,116",0,0.00%,¥0,0,0.00%,¥0,,,
,当初プランとの差分,,"-6,768","-1,948",-,-,"-59,884",-15,-0.60%,"¥80,000",-12,-0.48%,"-¥100,000",,,