12/11〜のテスト,,,,,,,,,,
,,,,,11/27（水）〜12/10（火）,,,12/12（木）〜12/20（金）,,
,,,,,SS,フォームSS,CV,SS,フォームSS,CV
CTA改善,12月,Amazonギフトカード 支払い方法,https://giftee.biz/columns/amazongiftcard-payment/,12/11,130,2,1,68,0,0
CTA改善,12月,周年記念,https://giftee.biz/columns/anniversary-celebration-employee/,12/11,64,1,0,34,0,0
CTA改善,12月,キャンペーン 販促,https://giftee.biz/columns/promotional-campaign/,12/11,73,0,0,48,1,0
CTA改善,12月,ダイバーシティ＆インクルージョン,https://giftee.biz/columns/diversity-inclusion/,12/11,57,0,0,28,0,0
CTA改善,12月,アンケート謝礼,https://giftee.biz/columns/240328/,12/11,22,0,0,16,0,0
CTA改善,12月,ピアボーナスとは,https://giftee.biz/columns/peerbonus/,12/11,39,0,0,14,0,0
CTA改善,12月,販売促進アイデア,https://giftee.biz/columns/salespromotionideas/,12/11,52,0,0,26,0,0
CTA改善,12月,インスタントウィンとは,https://giftee.biz/columns/instantwin/,12/11,28,0,0,12,1,0
CTA改善,12月,snsキャンペーンとは,https://giftee.biz/columns/sns-campaign/,12/11,11,0,0,6,0,0
CTA改善,12月,マストバイキャンペーンとは,https://giftee.biz/columns/mustbuy-campaign/,12/11,18,0,0,14,0,0
CTA改善,12月,ギフトマーケティングとは,https://giftee.biz/columns/giftmarketing/,12/11,17,0,0,9,0,0
CTA改善,12月,来店促進,https://giftee.biz/columns/storevisits-promotion/,12/11,30,0,0,25,0,0
CTA改善,12月,表彰制度,https://giftee.biz/columns/awardsystem/,12/11,8,0,0,3,0,0
CTA改善,12月,ポイント制度とは,https://giftee.biz/columns/point-service/,12/11,6,0,0,3,0,0
CTA改善,12月,従業員体験,https://giftee.biz/columns/employee-experience/,12/11,1,0,0,5,0,0
CTA改善,12月,当選メール,https://giftee.biz/columns/winmail/,12/11,122,1,0,48,0,0
CTA改善,12月,商品券 郵送,https://giftee.biz/columns/giftcertificate-mail/,12/11,378,0,0,322,0,0
CTA改善,12月,周年祝い,https://giftee.biz/columns/anniversary-celebration/,12/11,243,0,0,132,0,0
CTA改善,12月,お詫びの品,https://giftee.biz/columns/apology-item/,12/11,372,0,0,243,0,0
CTA改善,12月,退職 ギフト,https://giftee.biz/columns/retirementgift/,12/11,185,0,0,169,0,0
CTA改善,12月,インタビュー謝礼,https://giftee.biz/columns/interview-reward/,12/11,78,0,0,45,0,0
CTA改善,12月,デジタルギフト 使い方,https://giftee.biz/columns/digitalgift-howto/,12/11,66,0,0,36,2,0
,,,,,2000,4,1,1306,4,0
,,,,,,0.20%,25.00%,,0.31%,0.00%
,,,,,,,,,,
12/18〜のテスト,,,,,,,,,,
,,,,,11/25（月）〜12/9（月）,,,1/6（月）〜1/20（月）,,
CTA改善,12月,アンケート ご協力 お願い 文例,https://giftee.biz/columns/survey-request/,12/18,129,0,0,165,0,0
CTA改善,12月,amazonギフトカード 購入,https://giftee.biz/columns/amazongiftcard-buy/,12/18,261,2,0,207,1,0
CTA改善,12月,amazonギフトカード 種類,https://giftee.biz/columns/amazongiftcard-type/,12/18,8,0,0,6,0,0
CTA改善,12月,amazonギフトカード eメールタイプ,https://giftee.biz/columns/amazongiftcard-email/,12/18,134,1,0,197,1,1
CTA改善,12月,amazonギフトカード アンケート謝礼,https://giftee.biz/columns/amazongiftcard-survey/,12/18,118,2,0,104,1,0
CTA改善,12月,amazonギフトカードとは,https://giftee.biz/columns/amazon-giftcard/,12/18,"1,397",3,1,"2,702",1,0
CTA改善,12月,jcbギフトカードとは,https://giftee.biz/columns/jcbgiftcard/,12/18,"1,816",0,0,"2,407",3,0
CTA改善,12月,lineギフトとは,https://giftee.biz/columns/linegift/,12/18,"1,086",2,1,966,1,0
CTA改善,12月,lineキャンペーン 事例,https://giftee.biz/columns/line-campaign-tips/,12/18,27,0,0,36,0,0
CTA改善,12月,nanacoギフトとは,https://giftee.biz/columns/nanaco/,12/18,50,0,0,54,0,0
CTA改善,12月,PayPayポイントコード 購入,https://giftee.biz/columns/paypay-buy/,12/18,54,1,1,34,1,0
CTA改善,12月,paypayポイントコードとは,https://giftee.biz/columns/paypaygiftcard/,12/18,812,1,1,769,2,1
CTA改善,12月,QUOカードPay,https://giftee.biz/columns/quocardpay/,12/18,44,0,0,32,0,0
CTA改善,12月,visaギフトカード 購入,https://giftee.biz/columns/visagiftcard/,12/18,575,0,0,560,0,0
CTA改善,12月,xキャンペーン 事例,https://giftee.biz/columns/twitter-campaign-tips/,12/18,19,1,0,26,0,0
CTA改善,12月,x抽選ツールとは,https://giftee.biz/columns/240313/,12/18,140,0,0,115,2,0
CTA改善,12月,アンケート回答メール 例文,https://giftee.biz/columns/240527-survey/,12/18,656,1,0,454,0,0
CTA改善,12月,アンケート結果 まとめ方,https://giftee.biz/columns/aggregation-method/,12/18,857,0,0,732,1,0
CTA改善,12月,アンケート謝礼 相場,https://giftee.biz/columns/240617-survey/,12/18,41,0,0,59,0,0
CTA改善,12月,デジタルギフト 比較,https://giftee.biz/columns/digitalgift-list/,12/18,55,2,2,59,3,2
CTA改善,12月,座談会 謝礼,https://giftee.biz/columns/roundtable-reward/,12/18,9,0,0,9,0,0
CTA改善,12月,レシートキャンペーン,https://giftee.biz/columns/receipt-campaign/,12/18,10,1,0,15,1,1
CTA改善,12月,永年勤続,https://giftee.biz/columns/longservice/,12/18,158,0,0,129,1,0
CTA改善,12月,商品券 購入,https://giftee.biz/columns/shohinken-place/,12/18,767,0,0,517,0,0
CTA改善,12月,商品券 種類,https://giftee.biz/columns/giftcertificate/,12/18,"2,824",2,0,"1,883",1,0
CTA改善,12月,人的資本経営とは,https://giftee.biz/columns/humancapitalmanagement/,12/18,21,1,0,11,1,1
CTA改善,12月,福利厚生費,https://giftee.biz/columns/welfare-expense-tax/,12/18,677,3,2,626,2,0
CTA改善,12月,法人ギフトとは,https://giftee.biz/columns/corporate-gifts/,12/18,28,0,0,37,0,1
CTA改善,12月,忘年会 景品 おすすめ,https://giftee.biz/columns/yearendparty-prizes/,12/18,"4,117",3,0,338,0,0
CTA改善,12月,友達紹介キャンペーンとは,https://giftee.biz/columns/referral-campaign/,12/18,31,0,0,34,0,0
,,,,,"16,921",26,8,"13,283",23,7
,,,,,,0.15%,30.77%,,0.17%,30.43%