ペルソナ,#,サブキーワード,マストとの関係,態度,Vol
1,マスト,クライアントワーク タスク管理,-,-,0
1,1,クライアントワーク 効率化,課題の上位概念,課題認識,0
1,2,クライアント 依頼 散らばる,直接的な課題,課題認識,0
1,3,タスク管理 うまくいかない,課題の自覚,課題認識,10
1,4,タスク 抜け漏れ 防止,課題の具体化,課題認識,0
1,5,Slack タスク 埋もれる,ツール起因の課題,課題認識,0
1,6,Slack 依頼 見落とし,ツール起因の課題,課題認識,0
1,7,メール タスク 管理 大変,チャネル別の課題,課題認識,0
1,8,複数クライアント 進捗管理,状況の課題,課題認識,0
1,9,マーケティング タスク管理 課題,職種特化の課題,課題認識,0
1,10,代理店 タスク管理 煩雑,業種特化の課題,課題認識,0
1,11,支援会社 業務効率化,業種特化の課題,課題認識,0
1,12,クライアント対応 時間かかる,時間の課題,課題認識,0
1,13,タスク転記 面倒,作業の課題,課題認識,0
1,14,タスク登録 時間がかかる,作業の課題,課題認識,0
1,15,名もなき作業 削減,タンタンの訴求軸,課題認識,0
1,16,依頼 一元化 できない,状態の課題,課題認識,0
1,17,社内 社外 タスク 分散,構造的な課題,課題認識,0
1,18,クライアント別 管理 大変,状況の課題,課題認識,0
1,19,タスク管理ツール 比較,ツール探し,情報収集,90
1,20,タスク管理ツール おすすめ,ツール探し,情報収集,320
1,21,チーム タスク管理 ツール,チーム視点での探索,情報収集,210
1,22,クライアント管理 ツール,業務特化の探索,情報収集,30
1,23,マーケティング 進捗管理 ツール,職種特化の探索,情報収集,0
1,24,Asana 代替,競合からの乗り換え,情報収集,20
1,25,Trello 代替,競合からの乗り換え,情報収集,20
1,26,Backlog 代替,競合からの乗り換え,情報収集,30
1,27,タスク管理 シンプル,ニーズ特化,情報収集,90
1,28,社外共有 タスク管理,機能特化の探索,情報収集,0
1,29,外部共有 タスク管理,機能特化の探索,情報収集,0
1,30,クライアント タスク共有 ツール,機能特化の探索,情報収集,0
1,31,依頼管理 ツール,用途特化の探索,情報収集,30
1,32,依頼受付 システム,用途特化の探索,情報収集,0
1,33,タスク管理 無料,条件特化の探索,情報収集,720
1,34,タスク管理 中小企業,規模特化の探索,情報収集,0
1,35,マーケ支援会社 ツール,業種特化の探索,情報収集,0
1,36,URL共有 タスク追加,タンタン独自機能,比較検討,0
1,37,アカウント不要 タスク共有,タンタン独自機能,比較検討,0
1,38,他者 タスク追加 ツール,タンタン独自機能,比較検討,0
1,39,相互タスク追加,タンタン独自機能,比較検討,0
1,40,タスク内チャット,タンタン機能,比較検討,0
1,41,タスクルール設定,タンタン機能,比較検討,0
1,42,Slack連携 タスク管理,連携機能,比較検討,10
1,43,タスク管理 導入しやすい,導入ハードル,比較検討,0
1,44,タスク管理 説明不要,導入ハードル,比較検討,0
1,45,タスク管理 Asana Trello 比較,競合比較,比較検討,0
1,46,タンタン タスク管理,指名検索（将来用）,比較検討,0
1,47,tantan 評判,指名検索（将来用）,比較検討,30
1,48,タスク管理 クライアント 直接入力,機能比較,比較検討,0
1,49,依頼 自動登録 ツール,機能比較,比較検討,0
1,50,クライアントワーク 効率化 ツール,まとめ比較,比較検討,0
2,マスト,チーム タスク管理,-,-,720
2,1,言った言わない 防止,直接的な課題,課題認識,0
2,2,言った言わない なくす,直接的な課題,課題認識,0
2,3,チーム コミュニケーション 課題,上位概念の課題,課題認識,0
2,4,情報共有 うまくいかない,関連する課題,課題認識,10
2,5,タスク 進捗 見えない,可視化の課題,課題認識,0
2,6,誰が何をやっているか わからない,可視化の課題,課題認識,0
2,7,業務委託 タスク管理 難しい,対象別の課題,課題認識,0
2,8,副業メンバー 管理,対象別の課題,課題認識,0
2,9,スタートアップ タスク管理 課題,業種特化の課題,課題認識,0
2,10,少人数 チーム 効率化,規模特化の課題,課題認識,0
2,11,リモートワーク タスク共有,働き方の課題,課題認識,0
2,12,Slack スレッド 埋もれる,ツール起因の課題,課題認識,0
2,13,タスク依頼 伝わらない,コミュニケーション課題,課題認識,0
2,14,引き継ぎ 曖昧,運用の課題,課題認識,0
2,15,タスク 属人化,構造的な課題,課題認識,0
2,16,チーム 負荷 偏り,マネジメント課題,課題認識,0
2,17,プロジェクト管理 煩雑,上位概念の課題,課題認識,0
2,18,関わる人 多い 管理,状況の課題,課題認識,0
2,19,チーム タスク管理 ツール おすすめ,ツール探し,情報収集,0
2,20,スタートアップ タスク管理 おすすめ,業種特化の探索,情報収集,0
2,21,小規模チーム プロジェクト管理,規模特化の探索,情報収集,0
2,22,業務委託 タスク共有 ツール,対象特化の探索,情報収集,0
2,23,外部メンバー タスク管理,対象特化の探索,情報収集,0
2,24,パートナー タスク共有,対象特化の探索,情報収集,0
2,25,チーム 進捗管理 ツール,機能特化の探索,情報収集,10
2,26,タスク 可視化 ツール,機能特化の探索,情報収集,0
2,27,Asana 小規模,競合の規模検討,情報収集,0
2,28,Trello チーム,競合のチーム利用,情報収集,30
2,29,Notion タスク管理 チーム,競合のチーム利用,情報収集,140
2,30,タスク管理 アカウント不要,条件特化の探索,情報収集,0
2,31,タスク管理 導入 簡単,条件特化の探索,情報収集,0
2,32,タスク管理 無料 チーム,条件特化の探索,情報収集,10
2,33,Slack連携 プロジェクト管理,連携特化の探索,情報収集,0
2,34,リモート チーム ツール,働き方特化の探索,情報収集,0
2,35,COO タスク管理,役職特化の探索,情報収集,0
2,36,URL共有 チーム タスク,タンタン独自機能,比較検討,0
2,37,アカウント不要 チーム参加,タンタン独自機能,比較検討,0
2,38,相互タスク追加 チーム,タンタン独自機能,比較検討,0
2,39,タスク内チャット チーム,タンタン機能,比較検討,0
2,40,チームステータス 可視化,タンタン機能,比較検討,0
2,41,タスク 進捗 一覧,タンタン機能,比較検討,0
2,42,Slack連携 タスク 自動,連携機能,比較検討,0
2,43,言った言わない 解決 ツール,課題解決軸,比較検討,0
2,44,チーム タスク管理 Asana Trello 比較,競合比較,比較検討,0
2,45,業務委託 簡単 タスク共有,ユースケース,比較検討,0
2,46,タンタン チーム,指名検索（将来用）,比較検討,0
2,47,tantan スタートアップ,指名検索（将来用）,比較検討,0
2,48,タスク管理 全員参加,機能比較,比較検討,0
2,49,プロジェクト管理 シンプル,ニーズ比較,比較検討,10
2,50,チーム タスク管理 導入事例,事例検索,比較検討,0
3,マスト,フリーランス タスク管理,-,-,70
3,1,フリーランス タスク漏れ,直接的な課題,課題認識,0
3,2,フリーランス 依頼 見落とし,直接的な課題,課題認識,0
3,3,クライアント 依頼 一元化,課題の具体化,課題認識,0
3,4,複数案件 管理 大変,状況の課題,課題認識,0
3,5,複数クライアント 管理,状況の課題,課題認識,0
3,6,フリーランス 業務効率化,上位概念の課題,課題認識,0
3,7,個人事業主 タスク管理 課題,属性特化の課題,課題認識,0
3,8,Chatwork Slack 両方 管理,ツール分散の課題,課題認識,0
3,9,依頼 転記 面倒,作業の課題,課題認識,0
3,10,依頼 情報 不足,品質の課題,課題認識,0
3,11,期限 聞き忘れ,運用の課題,課題認識,0
3,12,クライアント 連絡 バラバラ,構造的な課題,課題認識,0
3,13,フリーランス 時間管理,関連する課題,課題認識,90
3,14,案件管理 煩雑,上位概念の課題,課題認識,0
3,15,Web制作 タスク管理 課題,職種特化の課題,課題認識,0
3,16,デザイナー タスク管理,職種特化の課題,課題認識,20
3,17,エンジニア フリーランス 管理,職種特化の課題,課題認識,0
3,18,ライター 案件管理,職種特化の課題,課題認識,0
3,19,フリーランス タスク管理 おすすめ,ツール探し,情報収集,0
3,20,フリーランス タスク管理 アプリ,ツール探し,情報収集,0
3,21,個人事業主 タスク管理 ツール,属性特化の探索,情報収集,0
3,22,案件管理 ツール フリーランス,用途特化の探索,情報収集,0
3,23,クライアント管理 フリーランス,用途特化の探索,情報収集,0
3,24,依頼管理 フリーランス,用途特化の探索,情報収集,0
3,25,Trello フリーランス,競合の利用検討,情報収集,10
3,26,Notion フリーランス タスク,競合の利用検討,情報収集,0
3,27,Todoist フリーランス,競合の利用検討,情報収集,0
3,28,タスク管理 無料 個人,条件特化の探索,情報収集,20
3,29,タスク管理 シンプル 個人,条件特化の探索,情報収集,0
3,30,Web制作 タスク管理 ツール,職種特化の探索,情報収集,0
3,31,デザイナー おすすめ ツール,職種特化の探索,情報収集,0
3,32,副業 タスク管理,働き方特化の探索,情報収集,0
3,33,在宅ワーク タスク管理,働き方特化の探索,情報収集,10
3,34,クライアント 依頼 受付,機能特化の探索,情報収集,0
3,35,依頼フォーム 作成,機能特化の探索,情報収集,10
3,36,URL共有 依頼受付,タンタン独自機能,比較検討,0
3,37,クライアント別 URL発行,タンタン独自機能,比較検討,0
3,38,アカウント不要 依頼,タンタン独自機能,比較検討,0
3,39,依頼 自動登録,タンタン独自機能,比較検討,0
3,40,タスクルール 期限必須,タンタン機能,比較検討,0
3,41,依頼フォーム カスタマイズ,タンタン機能,比較検討,0
3,42,クライアント 直接入力,ユースケース,比較検討,0
3,43,転記不要 タスク管理,課題解決軸,比較検討,0
3,44,フリーランス Trello 代替,競合比較,比較検討,0
3,45,フリーランス Notion 代替,競合比較,比較検討,0
3,46,タンタン フリーランス,指名検索（将来用）,比較検討,0
3,47,tantan 個人事業主,指名検索（将来用）,比較検討,0
3,48,依頼管理 シンプル,ニーズ比較,比較検討,0
3,49,クライアント タスク管理 一元化,まとめ比較,比較検討,0
3,50,フリーランス 業務効率化 ツール,まとめ比較,比較検討,0
